timestamp,cpu_percent,mem_percent,load1,load5,disk_used_mb
2025-10-19T17:14:00Z,4.2,38.5,0.12,0.08,32124
2025-10-19T17:15:00Z,3.8,38.6,0.10,0.08,32130
2025-10-19T17:16:00Z,5.1,39.1,0.15,0.09,32130
2025-10-19T17:17:00Z,6.0,39.5,0.22,0.11,32131
2025-10-19T17:18:00Z,7.4,40.2,0.35,0.18,32135
2025-10-19T17:19:00Z,12.1,42.0,0.90,0.45,32140
2025-10-19T17:20:00Z,18.2,45.5,1.35,0.95,32150
2025-10-19T17:21:00Z,22.4,49.0,2.14,1.30,32170
2025-10-19T17:22:00Z,14.0,47.2,1.12,0.80,32173
2025-10-19T17:23:00Z,8.9,45.0,0.42,0.55,32174
2025-10-19T17:24:00Z,6.2,43.8,0.32,0.40,32175
2025-10-19T17:25:00Z,5.5,43.2,0.28,0.35,32176
2025-10-19T17:26:00Z,4.9,42.9,0.22,0.30,32176
2025-10-19T17:27:00Z,4.7,42.7,0.18,0.25,32177
2025-10-19T17:28:00Z,4.8,42.8,0.16,0.22,32177
2025-10-19T17:29:00Z,6.3,43.5,0.28,0.24,32178
2025-10-19T17:30:00Z,9.0,44.0,0.60,0.30,32180
2025-10-19T17:31:00Z,11.5,44.8,0.95,0.48,32185
2025-10-19T17:32:00Z,15.0,46.0,1.60,0.82,32190
2025-10-19T17:33:00Z,19.8,48.5,2.45,1.30,32200
2025-10-19T17:34:00Z,24.0,50.9,3.10,1.80,32210
2025-10-19T17:35:00Z,27.5,53.7,3.80,2.20,32240
2025-10-19T17:36:00Z,30.1,56.4,4.90,3.10,32275
2025-10-19T17:37:00Z,22.0,50.2,2.20,2.00,32278
2025-10-19T17:38:00Z,12.3,45.9,0.95,1.10,32280
2025-10-19T17:39:00Z,7.1,43.7,0.42,0.65,32280
2025-10-19T17:40:00Z,5.0,42.5,0.28,0.45,32281
2025-10-19T17:41:00Z,4.1,41.9,0.18,0.30,32281
2025-10-19T17:42:00Z,3.9,41.6,0.14,0.22,32282
2025-10-19T17:43:00Z,3.7,41.3,0.12,0.18,32282
2025-10-19T17:44:00Z,3.9,41.5,0.11,0.16,32282
2025-10-19T17:45:00Z,6.4,42.8,0.26,0.20,32283
2025-10-19T17:46:00Z,9.8,44.6,0.72,0.35,32285
2025-10-19T17:47:00Z,14.1,47.9,1.45,0.68,32290
2025-10-19T17:48:00Z,11.0,46.2,1.02,0.75,32292
2025-10-19T17:49:00Z,8.5,44.8,0.55,0.60,32293
2025-10-19T17:50:00Z,6.0,43.7,0.30,0.45,32293
2025-10-19T17:51:00Z,4.8,43.0,0.20,0.38,32294
2025-10-19T17:52:00Z,4.2,42.6,0.15,0.30,32294
2025-10-19T17:53:00Z,3.9,42.4,0.12,0.25,32295
2025-10-19T17:54:00Z,3.7,42.2,0.10,0.20,32295
2025-10-19T17:55:00Z,3.6,42.1,0.09,0.18,32295
2025-10-19T17:56:00Z,3.8,42.3,0.11,0.17,32295
2025-10-19T17:57:00Z,4.0,42.5,0.12,0.16,32296
